mood,sleep,energy,time,class
stressed,poor,low,5,breathing
stressed,poor,low,10,breathing
stressed,average,low,5,breathing
stressed,average,medium,10,breathing
stressed,good,low,5,breathing
stressed,good,medium,10,breathing
anxious,poor,low,5,breathing
anxious,poor,medium,10,breathing
anxious,average,low,5,breathing
anxious,average,medium,10,breathing
anxious,good,low,5,breathing
anxious,good,medium,15,meditation
overthinking,poor,low,5,breathing
overthinking,poor,medium,10,breathing
overthinking,average,low,10,breathing
overthinking,average,medium,15,meditation
overthinking,good,low,15,relaxation
overthinking,good,medium,10,meditation
angry,poor,low,5,breathing
angry,poor,medium,10,breathing
angry,average,low,5,breathing
angry,average,medium,10,breathing
angry,good,low,10,relaxation
angry,good,medium,15,meditation
nervous,poor,low,5,breathing
nervous,average,low,10,breathing
nervous,good,medium,15,meditation
worried,poor,low,5,breathing
worried,average,medium,10,breathing
worried,good,medium,15,meditation
panic,poor,low,5,breathing
panic,poor,medium,5,breathing
panic,average,low,10,breathing
frustrated,poor,low,5,breathing
frustrated,average,medium,10,breathing
frustrated,good,medium,15,meditation
calm,good,medium,10,meditation
calm,good,high,15,meditation
calm,average,medium,10,meditation
calm,average,low,5,breathing
calm,poor,medium,10,meditation
calm,poor,low,15,relaxation
happy,good,medium,10,meditation
happy,good,high,15,meditation
happy,average,medium,10,meditation
happy,average,low,5,breathing
happy,poor,medium,10,meditation
happy,poor,low,10,breathing
focused,good,medium,15,meditation
focused,good,high,15,meditation
focused,average,medium,10,meditation
focused,average,high,15,meditation
focused,poor,low,10,relaxation
focused,poor,medium,10,meditation
peaceful,good,medium,10,meditation
peaceful,good,high,15,meditation
peaceful,average,medium,10,meditation
peaceful,average,low,15,meditation
peaceful,poor,low,5,breathing
peaceful,poor,medium,10,relaxation
motivated,good,high,15,meditation
motivated,average,medium,10,meditation
motivated,poor,low,10,breathing
balanced,good,medium,10,meditation
balanced,average,medium,15,meditation
balanced,poor,low,10,relaxation
hopeful,good,medium,15,meditation
hopeful,average,low,10,breathing
hopeful,poor,medium,10,meditation
content,good,medium,10,meditation
content,average,medium,15,meditation
content,poor,low,10,relaxation
tired,poor,low,10,relaxation
tired,poor,very_low,15,relaxation
tired,average,low,10,relaxation
tired,average,very_low,15,relaxation
tired,good,very_low,10,relaxation
tired,good,medium,15,meditation
sad,poor,low,10,relaxation
sad,poor,very_low,15,relaxation
sad,average,low,10,relaxation
sad,average,very_low,15,relaxation
sad,good,very_low,15,relaxation
sad,good,medium,10,breathing
exhausted,poor,low,15,relaxation
exhausted,poor,very_low,10,relaxation
exhausted,average,low,10,relaxation
exhausted,average,very_low,15,relaxation
exhausted,good,low,15,relaxation
exhausted,good,medium,10,meditation
lonely,poor,low,10,relaxation
lonely,poor,very_low,15,relaxation
lonely,average,low,10,relaxation
lonely,average,very_low,15,relaxation
lonely,good,low,10,relaxation
lonely,good,medium,15,meditation
bored,poor,low,10,relaxation
bored,average,low,15,relaxation
bored,good,medium,10,meditation
drained,poor,very_low,15,relaxation
drained,average,low,10,relaxation
drained,good,low,15,relaxation
sleepy,poor,very_low,15,relaxation
sleepy,average,low,10,relaxation
sleepy,good,medium,15,meditation
unmotivated,poor,low,10,relaxation
unmotivated,average,very_low,15,relaxation
unmotivated,good,low,10,relaxation
stressed,good,high,15,meditation
anxious,poor,high,5,breathing
overthinking,poor,high,10,breathing
angry,average,high,15,meditation
calm,good,very_low,15,relaxation
happy,good,very_low,10,relaxation
focused,good,low,5,breathing
peaceful,average,very_low,15,relaxation
tired,average,medium,5,breathing
sad,average,medium,10,breathing
lonely,good,high,15,meditation
exhausted,poor,medium,5,breathing
